Ngày mua,Nhà thuốc,Sản phẩm,Số lượng,Đơn giá (VND),AI_extracted_product
22/09/2025,Nhà thuốc Hoa Sen,Viên uống trắng da Glutathione,32,169455,Glutathione
20/05/2025,Nhà thuốc An Khang,Imunoglukan tăng đề kháng,116,494641,Imunoglukan
16/02/2025,Nhà thuốc Tâm Đức,Canxi Nano D3 K2 MK7,57,448187,Calcium Nano D3 K2 MK7
01/08/2025,Nhà thuốc Minh Châu,Sữa ong chúa Royal Jelly 1000mg,14,227856,Royal Jelly
17/07/2025,Nhà thuốc Long Châu,Viên uống trắng da Glutathione,21,216562,Glutathione
20/02/2025,Nhà thuốc Trung Sơn,Vitamin C 500mg sủi bọt ABC,183,360766,Vitamin C
20/01/2025,Nhà thuốc An Khang,Canxi Nano D3 K2 MK7,74,455034,Calcium Nano D3 K2 MK7
29/08/2025,Nhà thuốc An Khang,Strepsils đau họng,115,342619,Strepsils
12/05/2025,Nhà thuốc Minh Châu,Thuốc ho Bảo Thanh,56,457761,Bao Thanh
26/02/2025,Nhà thuốc Tâm Đức,Ginkgo Biloba,199,171048,Ginkgo Biloba
25/01/2025,Nhà thuốc Hoa Sen,Gaviscon dạ dày,62,240109,Gaviscon
13/09/2025,Nhà thuốc Hoa Sen,Siro ho Prospan Đức,153,301046,Prospan
15/03/2025,Nhà thuốc Long Châu,Magie B6,75,245044,Magnesium B6
04/05/2025,Nhà thuốc Trung Sơn,Collagen ADIVA,147,238401,Collagen
